ReportDate,Time,WellName,Days,Gas
4/1/2017,12:00 AM,Well_1,30,305215
5/1/2017,12:00 AM,Well_1,29,315389
6/1/2017,12:00 AM,Well_1,29,305214
7/1/2017,12:00 AM,Well_1,31,173562
8/1/2017,12:00 AM,Well_1,31,173562
9/1/2017,12:00 AM,Well_1,30,167963
10/1/2017,12:00 AM,Well_1,31,116924
11/1/2017,12:00 AM,Well_1,30,113151
12/1/2017,12:00 AM,Well_1,31,116923
1/1/2018,12:00 AM,Well_1,31,86527
2/1/2018,12:00 AM,Well_1,28,78154
3/1/2018,12:00 AM,Well_1,30,86526
4/1/2018,12:00 AM,Well_1,30,71969
5/1/2018,12:00 AM,Well_1,31,74367
6/1/2018,12:00 AM,Well_1,30,71968
7/1/2018,12:00 AM,Well_1,30,68009
8/1/2018,12:00 AM,Well_1,30,68008
9/1/2018,12:00 AM,Well_1,29,65814
10/1/2018,12:00 AM,Well_1,31,63014
11/1/2018,12:00 AM,Well_1,30,60980
12/1/2018,12:00 AM,Well_1,31,63013
1/1/2019,12:00 AM,Well_1,31,52479
2/1/2019,12:00 AM,Well_1,28,47399
3/1/2019,12:00 AM,Well_1,31,52478
4/1/2019,12:00 AM,Well_1,30,46392
5/1/2019,12:00 AM,Well_1,31,47939
6/1/2019,12:00 AM,Well_1,30,46391
7/1/2019,12:00 AM,Well_1,31,44092
8/1/2019,12:00 AM,Well_1,31,44091
9/1/2019,12:00 AM,Well_1,30,42669
10/1/2019,12:00 AM,Well_1,31,41214
11/1/2019,12:00 AM,Well_1,30,39883
12/1/2019,12:00 AM,Well_1,31,41213
1/1/2020,12:00 AM,Well_1,31,36549
2/1/2020,12:00 AM,Well_1,29,34190
3/1/2020,12:00 AM,Well_1,31,36548
4/1/2020,12:00 AM,Well_1,30,31279
5/1/2020,12:00 AM,Well_1,31,32321
6/1/2020,12:00 AM,Well_1,30,31278
7/1/2020,12:00 AM,Well_1,31,28914
8/1/2020,12:00 AM,Well_1,31,28914
9/1/2020,12:00 AM,Well_1,30,27980
10/1/2020,12:00 AM,Well_1,31,28895
11/1/2020,12:00 AM,Well_1,30,27961
12/1/2020,12:00 AM,Well_1,31,28894
1/1/2021,12:00 AM,Well_1,31,26936
2/1/2021,12:00 AM,Well_1,28,24329
3/1/2021,12:00 AM,Well_1,31,26935
4/1/2021,12:00 AM,Well_1,30,23721
5/1/2021,12:00 AM,Well_1,31,24510
6/1/2021,12:00 AM,Well_1,29,23720
7/1/2021,12:00 AM,Well_1,31,22627
8/1/2021,12:00 AM,Well_1,31,22627
9/1/2021,12:00 AM,Well_1,30,21896
10/1/2021,12:00 AM,Well_1,31,21629
11/1/2021,12:00 AM,Well_1,30,20931
12/1/2021,12:00 AM,Well_1,31,21628
